,Pustular Mat  1,Pustular Mat  2,Pustular Mat  3,Pustular Mat  4,Pustular Mat  5,Smooth Mat 1,Smooth Mat 2,Smooth Mat 3,Smooth Mat 4,Smooth Mat 5
K00367: narB; ferredoxin-nitrate reductase [EC:1.7.7.2],20,3,0,14,17,5,10,9,7,8
K10117: msmE; raffinose/stachyose/melibiose transport system substrate-binding protein,4,4,2,4,2,7,24,9,26,11
K00336: nuoG; NADH-quinone oxidoreductase subunit G [EC:7.1.1.2],4,1,0,11,10,20,10,6,16,14
K00937: ppk; polyphosphate kinase [EC:2.7.4.1],14,2,19,8,8,11,6,13,3,8
"K02109: ATPF0B, atpF; F-type H+-transporting ATPase subunit b",10,5,3,10,11,5,6,16,13,13
"K02867: RP-L11, MRPL11, rplK; large subunit ribosomal protein L11",20,1,2,7,4,13,14,18,6,7
K07315: rsbU_P; phosphoserine phosphatase RsbU/P [EC:3.1.3.3],6,2,3,12,8,15,10,21,2,13
"K02878: RP-L16, MRPL16, rplP; large subunit ribosomal protein L16",14,1,1,5,9,16,12,19,8,6
"K00700: GBE1, glgB; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]",16,1,0,12,7,16,12,21,0,5
K02669: pilT; twitching motility protein PilT,20,4,7,14,6,9,10,7,5,8
K04072: adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1],10,1,0,13,8,14,8,17,16,3
K07080: K07080; uncharacterized protein,10,2,0,4,5,9,16,7,20,17
K02005: ABC.CD.TX; HlyD family secretion protein,16,2,4,5,7,20,8,17,4,6
K02660: pilJ; twitching motility protein PilJ,8,3,8,7,3,10,8,3,30,9
K04034: bchE; anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [EC:1.21.98.3],2,4,1,7,2,14,26,15,9,9
