,Pustular Mat  1,Pustular Mat  2,Pustular Mat  3,Pustular Mat  4,Pustular Mat  5,Smooth Mat 1,Smooth Mat 2,Smooth Mat 3,Smooth Mat 4,Smooth Mat 5
K05876,0,0,1,1,0,8,4,4,2,3
K05878,0,0,1,5,4,2,2,2,3,4
K06183,4,1,8,1,2,3,0,2,1,1
K06959,4,1,3,1,2,5,0,5,1,1
K07168,4,0,0,4,5,5,0,1,3,1
K07305,6,1,3,2,0,3,4,2,0,2
K07319,2,0,0,3,1,4,0,8,2,3
K07393,10,2,0,0,2,2,4,1,2,0
K07478,0,0,5,2,1,3,6,6,0,0
K07493,4,1,2,1,8,1,4,2,0,0
K07659,8,0,3,3,0,2,2,4,0,1
K07664,4,0,3,6,4,3,0,2,0,1
K07666,2,2,5,4,4,3,2,1,0,0
K07689,4,0,0,1,1,3,6,4,2,2
K07692,4,1,0,5,3,2,4,2,0,2
K07787,4,0,8,3,1,2,2,0,2,1
K08384,0,0,9,1,1,4,2,6,0,0
K08724,0,0,8,1,1,4,4,5,0,0
K08926,0,0,1,3,5,0,0,0,5,9
K10773,2,2,0,3,1,4,4,4,1,2
K11209,8,2,1,4,3,0,2,0,1,2
K15653,4,0,0,4,5,1,0,5,3,1
K15778,0,1,1,1,2,1,6,5,2,4
K15924,0,1,0,1,0,5,2,7,4,3
K16211,6,0,0,3,1,3,6,1,2,1
K16554,10,1,0,2,6,1,0,1,1,1
K00020,8,0,3,2,2,1,2,4,0,0
K00046,2,1,3,4,2,1,2,5,1,1
K00065,4,1,0,0,3,2,4,3,1,4
K00219,2,0,2,1,2,3,2,9,0,1
K00228,0,0,1,2,2,5,0,1,11,0
K00324,2,0,3,1,3,5,0,2,3,3
K00612,2,0,2,3,3,2,4,2,1,3
K00772,2,0,3,1,2,3,2,6,0,3
K00791,4,0,4,2,2,1,0,8,0,1
K01137,6,1,0,2,5,3,2,1,1,1
K01586,4,1,1,3,1,3,2,4,1,2
K01619,2,0,2,6,4,1,2,4,1,0
K01626,4,2,2,3,3,2,2,0,1,3
K01657,2,0,6,1,2,2,2,2,4,1
K01760,6,0,1,4,2,1,4,0,2,2
K01950,2,0,2,1,3,4,4,5,0,1
K02011,2,1,2,0,6,4,4,2,0,1
K02017,2,0,3,1,3,2,2,5,2,2
K02279,2,2,1,3,3,0,4,5,0,2
K02409,0,0,1,1,2,5,2,8,2,1
K02504,6,1,1,4,1,0,4,4,0,1
K02563,6,0,3,4,1,3,0,3,1,1
K02963,2,0,0,0,1,6,0,5,6,2
K02968,4,0,3,6,2,3,0,1,2,1
K03210,10,0,0,1,1,4,0,2,2,2
K03642,2,1,5,5,0,5,2,2,0,0
K03787,2,1,4,2,2,4,0,1,2,4
K03799,6,1,2,0,2,1,4,5,1,0
K06187,6,0,3,0,2,3,0,4,2,2
K06200,4,0,3,0,0,2,4,2,4,3
K06871,4,0,2,3,3,4,2,1,0,3
K06929,10,3,0,1,1,0,4,0,0,3
K06942,2,0,2,2,0,2,2,9,3,0
K07025,8,2,2,2,1,2,0,4,0,1
K07040,2,0,0,2,0,2,8,4,1,3
K07068,2,0,1,1,2,1,2,9,1,3
K07157,2,0,1,3,4,7,0,1,1,3
K07164,2,0,0,2,1,11,0,5,1,0
K07495,2,0,3,1,1,9,2,3,0,1
K07749,8,0,7,1,1,2,2,1,0,0
K08720,4,0,0,12,3,1,2,0,0,0
K10440,4,0,4,2,0,1,2,1,1,7
K10542,0,0,1,0,0,6,2,5,4,4
K13416,0,0,0,2,1,0,0,0,18,1
K13789,0,0,3,6,1,4,2,4,1,1
K15022,0,1,0,0,1,4,4,3,7,2
K16149,0,1,0,2,2,7,4,1,2,3
K16920,4,0,0,2,2,2,6,4,1,1
K00166,10,1,2,1,4,0,0,1,1,1
K00311,0,0,3,2,6,1,0,9,0,0
K00347,0,0,0,2,2,6,2,3,1,5
K00526,4,0,8,0,0,5,2,1,0,1
K00654,4,0,0,4,3,5,0,3,1,1
K00858,6,0,1,0,2,6,2,2,1,1
K00859,4,1,4,0,1,4,4,1,0,2
K01154,0,0,4,0,1,2,8,5,0,1
K01284,2,0,3,0,2,4,6,2,1,1
K01387,0,0,0,3,2,5,2,8,1,0
K01469,8,0,1,1,2,1,2,5,1,0
K01485,0,0,7,1,3,3,2,2,0,3
K01534,0,0,11,1,0,1,2,4,0,2
K01698,6,0,0,5,4,3,0,1,1,1
K01791,2,0,0,2,2,8,2,2,0,3
K01843,0,0,2,1,0,7,2,7,1,1
K01893,4,0,2,3,4,1,0,3,3,1
K01916,2,0,2,0,3,3,4,4,1,2
K01924,2,1,3,1,2,1,2,4,0,5
K01929,0,1,4,4,0,0,6,1,3,2
K02322,0,0,1,0,0,6,2,11,0,1
K02416,2,1,0,3,2,5,0,7,0,1
K02486,2,0,0,3,2,3,2,6,0,3
K02720,6,1,0,5,3,1,2,1,2,0
K03006,4,0,1,2,2,7,0,4,1,0
K03416,4,0,0,0,1,2,2,5,3,4
K03432,2,0,0,0,0,1,6,11,1,0
K03438,6,0,3,0,0,4,4,2,0,2
K03556,6,0,0,3,1,1,2,5,1,2
K03592,4,0,2,0,3,5,2,3,1,1
K05580,4,1,0,1,1,6,2,1,5,0
K05837,6,0,5,2,3,1,0,0,0,4
K06114,0,0,0,2,4,8,0,4,2,1
K06416,8,3,0,3,1,1,2,2,0,1
K07012,2,0,0,2,0,3,4,4,1,5
K08070,6,0,2,0,2,0,4,4,1,2
K08952,2,0,0,0,1,1,6,5,1,5
K09165,4,3,0,3,1,1,0,6,1,2
K09992,2,1,2,0,1,2,8,2,1,2
K10559,0,0,0,2,3,1,8,1,4,2
K11329,4,1,0,3,1,4,0,6,0,2
K12950,0,0,2,2,4,5,2,2,2,2
K15503,0,0,1,0,1,5,2,5,3,4
K15977,6,0,1,2,4,2,2,0,4,0
K16052,4,1,2,1,1,6,2,2,2,0
K16421,8,1,0,0,4,2,2,2,2,0
K18669,2,0,0,1,2,2,12,0,2,0
K18784,0,0,2,1,0,3,4,7,2,2
K00163,2,1,2,2,3,4,2,3,0,1
K00172,0,0,0,2,2,0,6,6,2,2
K00194,0,0,0,1,2,4,4,4,2,3
K00368,14,2,0,0,1,0,2,0,0,1
K00370,4,1,5,1,6,1,2,0,0,0
K00380,4,0,1,2,3,3,2,3,2,0
K00532,0,0,0,3,0,6,2,2,5,2
K00602,2,0,6,0,1,2,2,3,2,2
K00800,2,0,5,4,1,2,2,1,1,2
K00903,6,0,0,2,6,1,2,1,0,2
K01089,2,0,7,2,1,1,0,4,1,2
K01092,4,0,2,1,1,1,2,5,1,3
K01173,2,0,4,0,1,6,0,4,2,1
K01259,10,0,0,2,3,0,2,2,1,0
K01666,0,0,0,1,2,6,2,1,1,7
K01684,10,2,0,0,1,4,0,2,0,1
K01775,0,0,9,1,1,3,0,4,1,1
K01866,2,0,2,1,0,4,0,10,1,0
K01945,4,0,6,1,1,1,2,4,1,0
K02065,6,1,4,0,1,4,0,2,0,2
K02133,2,0,0,5,2,1,2,2,3,3
K02503,2,0,2,2,1,1,2,5,1,4
K02523,2,0,3,6,0,5,0,2,1,1
K02609,6,0,1,3,2,1,6,1,0,0
K02930,2,1,1,1,0,1,4,5,3,2
K03169,4,0,1,2,5,0,2,5,1,0
K03310,2,0,3,0,0,3,4,2,3,3
K03499,0,0,7,0,0,3,6,0,1,3
K03639,6,0,3,2,5,2,0,0,0,2
K03881,4,0,3,2,3,7,0,0,1,0
K03973,6,0,0,0,3,3,4,3,0,1
K04655,2,0,1,1,1,0,8,6,0,1
K04755,4,2,2,1,2,5,2,1,0,1
K05358,8,2,3,0,3,1,2,0,1,0
K06024,4,0,2,4,0,7,2,1,0,0
K07037,4,0,0,1,4,1,4,4,1,1
K07217,16,3,0,1,0,0,0,0,0,0
K07301,2,0,5,2,0,2,0,7,0,2
K07406,4,1,0,2,1,2,2,3,2,3
K07481,0,3,3,1,0,3,4,1,2,3
K07494,8,1,2,0,1,2,2,1,1,2
K09228,2,0,5,0,0,6,4,2,1,0
K09772,4,2,0,3,4,0,4,2,1,0
K09818,4,1,0,2,2,6,2,2,0,1
K09958,16,4,0,0,0,0,0,0,0,0
K11942,2,0,0,1,1,1,6,5,0,4
K12047,0,0,0,1,1,4,8,5,0,1
K12552,0,0,8,1,1,4,2,4,0,0
K12556,0,0,8,1,1,4,2,4,0,0
K13953,2,0,3,1,3,2,6,1,1,1
K15642,6,0,0,2,3,3,0,4,0,2
K16887,0,2,0,2,0,1,4,5,4,2
K17266,14,0,0,1,0,1,2,1,1,0
K17759,6,1,2,2,1,2,2,2,0,2
K17829,2,0,0,1,2,2,8,4,1,0
K19171,4,0,2,0,0,5,6,1,1,1
K00042,8,0,3,3,0,2,0,3,0,0
K00264,4,0,0,0,0,3,8,0,1,3
K00376,4,0,1,0,6,3,4,0,0,1
K00426,2,0,0,3,3,3,2,0,3,3
K00954,2,2,3,1,0,4,2,3,1,1
K01079,4,1,2,4,1,1,2,3,0,1
K01303,6,1,0,2,1,3,4,2,0,0
K01611,2,0,0,2,2,4,4,4,1,0
K01693,2,0,7,2,1,1,0,3,1,2
K01715,6,0,3,1,1,0,0,5,0,3
K01785,4,0,0,1,4,1,0,2,4,3
K01887,6,0,0,3,0,2,2,4,1,1
K02041,2,1,4,4,1,2,2,0,1,2
K02291,6,0,3,0,3,1,2,2,2,0
K02377,4,0,2,1,3,4,4,1,0,0
K02440,0,0,0,1,2,2,2,0,7,5
K02488,4,0,0,3,3,3,0,4,1,1
K02556,2,0,1,1,0,4,4,3,2,2
K02708,2,2,0,2,0,6,4,1,2,0
K02925,0,0,0,1,7,7,2,1,1,0
K03519,8,2,0,0,7,0,2,0,0,0
K05807,2,1,1,4,0,6,2,2,1,0
K05882,4,1,0,5,1,1,2,4,1,0
K06872,8,1,0,4,0,3,0,3,0,0
K06997,2,0,1,1,0,8,2,2,2,1
K07006,4,1,2,2,2,2,2,2,0,2
K07403,2,0,0,3,2,3,2,2,0,5
K08093,0,0,4,0,0,1,2,12,0,0
K08309,2,2,0,3,0,0,4,4,1,3
K10356,8,0,0,3,1,4,0,0,0,3
K10907,0,1,4,4,1,3,0,4,0,2
K11528,2,0,5,2,2,4,2,2,0,0
K11907,6,0,3,2,1,4,0,2,1,0
K13292,6,0,4,1,0,1,2,5,0,0
K13614,4,1,0,4,3,0,0,5,0,2
K13735,4,0,0,0,3,1,2,5,0,4
K14446,0,0,0,1,2,2,8,4,2,0
K14469,0,0,0,1,2,2,8,4,2,0
K15502,0,0,1,0,1,4,2,5,3,3
K15635,2,0,0,3,0,2,6,6,0,0
K15792,4,0,4,2,0,2,4,2,1,0
K16786,4,1,4,0,1,0,2,5,2,0
K17758,6,1,2,2,0,2,2,2,0,2
K00011,2,0,0,3,0,6,6,1,0,0
K00106,0,0,0,2,0,2,8,4,0,2
K00325,2,0,0,1,2,3,6,3,0,1
K00520,8,2,0,0,3,1,2,1,1,0
K00767,2,0,0,0,1,5,4,3,1,2
K00793,2,0,1,3,4,1,2,2,0,3
K00823,2,1,1,4,3,3,0,3,1,0
K00874,4,0,3,0,0,2,2,5,1,1
K00945,2,0,3,3,2,2,2,1,1,2
K01053,4,0,1,2,2,1,4,2,1,1
K01056,2,0,1,2,0,5,4,2,0,2
K01206,0,0,0,0,0,3,4,6,3,2
K01438,4,0,0,2,1,4,0,4,2,1
K01539,2,0,0,5,2,1,2,2,1,3
K01563,4,1,0,3,1,2,2,4,1,0
K01697,6,1,0,4,1,2,2,0,0,2
K01719,0,1,3,0,5,2,2,1,2,2
K01736,8,0,1,0,1,3,0,3,1,1
K01818,0,0,3,0,0,7,4,1,0,3
K02074,6,0,1,6,2,0,0,3,0,0
K02075,2,0,2,1,1,8,0,2,0,2
K02301,2,0,1,2,1,2,8,0,1,1
K02407,0,0,0,1,0,0,4,4,9,0
K02500,2,0,4,2,0,0,4,2,1,3
K02536,0,1,3,3,2,4,0,2,0,3
K02593,0,0,0,1,0,10,0,2,1,4
K02659,2,0,1,1,1,6,0,1,6,0
K02954,2,1,0,2,2,2,2,4,1,2
K03042,0,0,0,0,0,4,4,10,0,0
K03090,4,0,0,2,6,0,0,1,4,1
K03308,0,0,2,1,0,3,2,4,2,4
K03328,4,0,1,3,2,3,2,1,0,2
K03366,2,0,1,2,2,4,0,5,0,2
K03411,4,0,4,0,1,1,2,2,1,3
K03451,6,2,0,3,3,1,0,1,1,1
K03664,2,0,2,0,1,2,6,4,0,1
K03719,8,0,4,1,1,3,0,1,0,0
K03744,0,0,1,2,3,0,6,4,1,1
K03839,2,0,0,2,7,2,0,3,0,2
K03925,2,0,3,2,5,0,4,1,0,1
K03979,2,0,3,0,2,1,4,4,1,1
K05565,2,0,4,1,2,4,2,0,1,2
K05578,2,3,2,2,2,0,0,3,0,4
K05814,2,1,0,4,2,1,2,2,3,1
K05844,2,0,0,7,2,0,4,2,1,0
K05863,2,0,0,2,3,3,4,1,3,0
K05928,10,0,0,2,1,1,2,2,0,0
K07024,6,0,5,0,0,1,4,1,0,1
K07303,4,0,1,1,0,3,0,6,1,2
K07686,2,0,0,0,1,3,6,4,1,1
K10552,0,1,1,2,0,4,2,4,1,3
K11928,0,0,2,2,1,0,0,5,4,4
K11960,6,0,11,0,0,1,0,0,0,0
K12472,0,0,0,1,0,10,0,6,0,1
K13487,2,0,2,2,1,1,2,0,5,3
K13490,0,0,0,0,1,1,0,2,11,3
K13622,8,0,0,2,3,1,4,0,0,0
K14452,0,0,0,1,0,0,10,7,0,0
K15497,2,0,1,1,1,2,2,5,2,2
K16055,2,0,1,5,2,1,0,4,0,3
K17050,4,1,3,1,6,1,2,0,0,0
K17892,12,2,0,0,0,1,0,1,1,1
K18441,0,0,1,0,1,4,2,4,3,3
K19406,0,0,0,1,1,0,10,6,0,0
K00117,2,0,1,3,4,0,2,3,0,2
K00130,8,1,3,2,0,1,0,0,1,1
K00140,6,0,3,0,3,1,2,1,1,0
K00230,0,0,0,3,7,4,2,1,0,0
K00290,0,0,1,3,1,3,4,3,0,2
K00364,2,0,0,0,2,5,4,3,0,1
K00406,2,0,0,3,2,5,2,2,0,1
K00451,2,1,2,2,6,2,0,0,2,0
K00606,0,0,2,2,3,2,4,1,1,2
K00625,0,0,1,4,0,2,2,3,3,2
K00788,2,2,2,3,0,2,2,2,0,2
K00794,0,0,1,4,2,2,6,0,2,0
K00925,0,0,0,1,1,6,0,3,6,0
K00943,4,0,1,2,0,3,0,4,2,1
K00956,2,0,2,6,0,1,0,1,1,4
K01000,2,2,2,2,2,2,2,2,1,0
K01203,0,0,0,1,0,2,8,5,0,1
K01658,4,0,3,2,1,1,4,1,0,1
K01709,2,0,1,2,2,2,2,3,1,2
K01825,0,0,2,2,0,3,4,3,2,1
K01858,2,0,3,0,1,1,4,3,2,1
K01933,4,0,1,1,1,2,2,2,1,3
K02042,4,0,5,1,2,2,0,1,1,1
K02118,0,0,0,0,0,5,2,6,1,3
K02371,2,0,2,1,0,4,4,3,0,1
K02412,2,0,4,0,1,4,2,1,1,2
K02575,6,0,5,2,0,1,0,1,0,2
K02634,6,0,0,2,2,4,0,0,3,0
K02866,2,0,0,1,0,1,8,4,1,0
K03091,4,0,0,1,2,2,0,2,5,1
K03117,4,0,2,3,1,2,4,0,1,0
K03218,2,0,2,1,1,1,6,1,1,2
K03750,2,1,1,1,1,2,2,3,3,1
K04075,0,0,8,2,2,2,0,2,0,1
K04392,2,0,0,1,5,2,2,0,4,1
K04646,0,1,0,2,5,6,0,3,0,0
K04751,4,0,2,3,2,1,0,3,0,2
K05574,6,3,0,3,0,0,2,0,0,3
K06181,4,1,4,1,1,2,0,2,1,1
K06182,2,1,6,1,2,2,0,1,1,1
K06973,6,1,0,4,1,0,4,0,0,1
K07133,0,0,2,0,1,3,4,6,0,1
K07405,0,0,0,2,1,1,4,8,0,1
K07976,0,0,0,1,0,5,2,6,1,2
K08302,2,1,5,1,0,2,2,1,2,1
K08635,0,0,0,0,0,6,6,5,0,0
K08679,0,0,1,4,4,0,2,3,0,3
K08857,2,0,0,1,4,4,0,3,1,2
K09607,0,0,0,0,1,5,4,4,1,2
K09786,2,0,0,1,2,2,6,3,0,1
K09970,2,0,4,1,1,1,2,0,2,4
K10562,2,1,0,0,2,4,6,2,0,0
K11071,6,0,2,0,5,4,0,0,0,0
K11333,0,0,0,7,8,0,0,0,0,2
K11443,0,0,0,4,2,2,0,7,0,2
K11600,0,0,0,0,0,1,8,8,0,0
K13057,0,0,0,1,1,4,0,7,2,2
K13787,0,0,1,5,2,5,0,3,1,0
K13896,4,1,0,1,2,0,2,4,1,2
K14162,0,0,4,2,1,1,2,5,0,2
K14683,4,0,0,2,0,2,0,0,7,2
K16787,2,1,3,0,0,1,2,6,2,0
K17994,0,0,0,1,0,2,0,13,1,0
K19865,0,0,0,2,0,13,0,1,1,0
K19954,4,2,0,1,0,3,0,3,3,1
K00014,2,0,1,2,2,0,2,2,1,4
K00016,0,0,5,0,3,2,2,2,0,2
K00054,2,0,0,0,1,2,4,4,1,2
K00057,4,0,2,2,0,0,0,3,2,3
K00099,2,1,0,2,3,2,0,4,0,2
K00210,2,0,1,3,1,2,2,2,2,1
K00286,0,0,1,1,1,4,4,4,0,1
K00351,2,1,0,3,2,0,0,3,2,3
K00547,0,0,0,2,2,1,2,7,0,2
K00560,0,0,3,0,1,2,0,5,4,1
K00773,0,0,4,2,1,3,2,1,0,3
K00942,2,1,1,3,2,1,4,1,0,1
K00955,2,0,2,6,0,1,0,1,1,3
K01061,4,1,0,2,3,2,0,0,1,3
K01159,4,0,1,1,1,2,0,5,0,2
K01337,0,0,0,0,0,6,4,4,0,2
K01409,0,0,4,0,3,5,2,1,0,1
K01443,6,1,0,1,3,1,2,2,0,0
K01487,0,0,7,2,1,2,0,3,0,1
K01607,6,0,1,1,5,0,0,0,1,2
K01654,2,0,1,3,2,1,2,1,1,3
K01663,2,0,4,2,0,0,4,1,1,2
K01692,2,1,2,4,1,0,2,1,1,2
K01823,2,1,2,1,1,0,2,6,0,1
K01878,0,0,1,1,2,7,2,2,0,1
K01920,2,2,2,1,2,1,2,3,1,0
K01925,2,1,1,0,2,2,4,2,0,2
K02050,2,0,7,0,2,0,0,1,0,4
K02236,4,0,5,0,0,3,2,2,0,0
K02347,6,0,0,0,1,1,4,2,1,1
K02417,2,0,0,1,1,4,0,6,1,1
K02502,4,0,7,1,0,2,2,0,0,0
K02596,0,0,0,1,5,1,2,0,0,7
K02654,4,0,5,0,0,3,2,2,0,0
K02663,6,2,1,1,0,1,2,1,1,1
K02664,4,1,4,2,2,0,0,1,1,1
K03177,0,0,1,2,1,1,2,6,1,2
K03271,0,0,1,0,0,4,4,5,1,1
K03325,2,2,2,4,1,1,0,0,1,3
K03584,2,0,5,0,1,0,2,5,0,1
K03588,4,0,3,1,0,3,0,3,0,2
K04036,2,0,0,2,2,1,2,3,1,3
K04096,2,0,1,2,1,1,0,8,0,1
K04477,6,0,0,0,1,1,4,2,1,1
K04652,2,0,0,2,2,1,4,2,1,2
K04752,4,0,2,3,2,1,0,3,0,1
K05582,4,1,0,1,1,1,4,2,2,0
K06149,2,0,3,4,4,1,0,1,0,1
K06213,4,0,0,0,1,1,6,1,1,2
K06346,4,0,0,0,1,2,4,4,0,1
K06630,4,0,0,2,2,4,0,0,2,2
K06949,0,1,3,0,0,8,0,3,0,1
K06990,2,0,2,0,0,2,6,3,0,1
K07013,2,1,0,4,2,0,2,2,2,1
K07050,2,1,1,0,1,0,8,3,0,0
K07107,0,1,8,1,3,0,0,1,1,1
K07306,2,1,0,0,5,2,0,4,1,1
K07309,0,0,0,3,1,3,0,6,2,1
K07486,2,1,3,2,4,1,0,0,0,3
K07576,4,0,0,1,1,3,2,3,2,0
K07642,0,0,0,1,2,1,6,3,1,2
K07662,4,0,2,2,0,2,0,4,0,2
K08017,0,0,1,2,1,2,6,1,2,1
K08057,2,0,0,1,1,1,6,2,2,1
K08286,2,2,2,0,4,3,2,0,1,0
K08954,0,0,0,0,0,1,6,3,1,5
K08963,2,0,0,1,4,3,2,3,0,1
K10238,2,0,0,0,2,2,2,3,2,3
K10541,4,0,2,1,0,1,2,1,1,4
K10561,0,0,0,1,2,1,6,1,3,2
K11004,8,0,0,2,1,2,0,1,1,1
K11618,2,0,0,1,0,4,8,1,0,0
K12530,8,0,0,2,1,2,0,1,1,1
K12531,8,0,0,2,1,2,0,1,1,1
K12856,0,0,0,1,2,2,6,3,1,1
K13832,6,0,0,2,1,0,2,1,1,3
K13888,2,0,2,3,2,2,0,3,1,1
K15371,8,0,1,0,2,0,4,0,1,0
K18831,2,0,0,3,0,7,0,2,0,2
K19355,2,0,0,2,1,4,2,1,1,3
K19421,0,0,1,0,1,2,4,4,0,4
K00019,4,1,0,2,1,0,4,2,0,1
K00208,0,0,1,1,4,0,2,2,3,2
K00245,2,0,0,3,3,0,2,2,0,3
K00313,0,1,4,2,6,0,0,0,0,2
K00504,2,0,0,0,1,4,6,1,0,1
K00620,4,0,2,2,1,2,2,1,1,0
K00830,2,1,0,2,1,0,0,2,6,1
K00891,2,0,1,1,3,1,2,3,1,1
K00978,4,0,1,1,1,1,2,1,4,0
K01470,2,0,0,2,3,0,4,2,1,1
K01520,0,0,5,1,0,8,0,0,0,1
K01627,0,0,4,2,2,1,2,2,1,1
K01737,4,0,0,2,3,4,0,2,0,0
K02097,4,1,0,4,1,2,2,0,0,1
K02238,2,0,3,0,0,6,0,4,0,0
K02315,2,0,2,0,0,2,4,2,0,3
K02391,0,0,0,2,0,4,2,6,0,1
K02411,0,0,0,1,2,2,4,4,1,1
K02567,2,0,1,4,4,3,0,1,0,0
K02843,2,2,0,0,2,4,2,1,2,0
K03178,4,0,0,2,4,3,0,1,0,1
K03223,0,0,0,1,2,2,4,4,1,1
K03263,6,0,0,1,1,3,2,1,1,0
K03327,2,0,4,1,0,4,2,0,1,1
K03498,0,0,7,1,3,1,0,1,0,2
K03551,2,0,4,1,3,2,0,3,0,0
K03570,0,0,1,2,0,4,2,2,1,3
K03616,0,0,0,0,3,1,4,3,3,1
K03773,4,0,1,1,3,3,0,0,2,1
K03802,6,0,3,2,2,0,0,0,1,1
K04028,2,1,0,1,2,0,2,2,3,2
K04094,0,1,2,0,1,2,0,2,3,4
K04654,2,0,0,1,4,0,0,6,2,0
K04940,0,0,1,0,0,2,4,8,0,0
K06381,2,0,2,5,0,1,2,1,1,1
K06921,0,0,0,3,2,7,0,3,0,0
K07056,0,0,3,0,1,2,4,4,1,0
K07337,0,0,0,0,2,5,2,2,1,3
K07491,0,0,1,4,1,4,0,4,0,1
K07533,6,0,2,1,0,1,0,1,2,2
K07660,2,1,1,4,2,2,2,1,0,0
K07788,0,0,8,0,0,5,0,1,1,0
K07789,0,0,8,0,0,5,0,1,1,0
K07806,2,0,3,0,0,3,4,2,1,0
K08259,2,0,1,2,1,2,2,3,1,1
K09065,0,0,0,0,1,1,10,3,0,0
K09820,6,0,1,5,0,0,0,3,0,0
K10018,0,0,0,3,0,1,4,1,3,3
K10227,0,1,0,2,0,2,4,1,3,2
K10549,0,0,0,0,0,5,0,6,2,2
K11706,6,0,1,5,0,0,0,3,0,0
K11710,6,0,1,5,0,0,0,3,0,0
K11754,0,0,4,3,2,0,0,3,2,1
K12410,2,0,2,1,2,1,0,6,0,1
K12452,4,0,2,2,1,1,2,1,0,2
K12953,0,0,1,0,3,1,6,3,1,0
K13590,0,0,2,2,2,4,0,1,2,2
K15521,6,0,0,2,0,2,2,0,0,3
K15771,0,0,1,1,2,4,0,2,5,0
K16079,0,0,0,0,2,4,6,3,0,0
K16300,4,0,4,1,2,1,0,3,0,0
K16886,0,0,0,2,1,4,0,1,6,1
K19075,0,0,0,1,0,1,6,6,0,1
K19122,6,2,0,0,0,2,0,4,1,0
K19973,6,0,1,5,0,0,0,3,0,0
K00004,2,0,0,0,2,1,2,4,1,2
K00015,0,0,2,0,2,1,0,6,0,3
K00021,2,0,0,0,1,3,4,2,0,2
K00154,0,2,7,0,0,0,0,3,0,2
K00171,0,0,0,0,0,3,4,7,0,0
K00253,4,0,3,3,0,0,2,2,0,0
K00501,0,0,8,0,1,5,0,0,0,0
K00748,0,1,3,0,0,2,4,0,2,2
K00758,0,1,0,0,0,3,4,5,1,0
K00761,2,0,0,0,1,1,2,1,2,5
K00803,2,0,0,0,0,2,2,7,0,1
K00851,2,0,5,1,0,4,2,0,0,0
K00869,0,1,3,0,1,4,2,0,0,3
K00950,2,0,1,1,6,0,0,2,2,0
K00979,4,0,0,1,2,3,2,2,0,0
K00995,2,0,2,1,2,1,2,1,1,2
K01012,0,1,1,4,3,0,0,0,0,5
K01073,4,0,2,3,0,0,0,2,0,3
K01286,0,2,2,3,3,1,0,2,0,1
K01317,2,0,0,3,2,1,4,2,0,0
K01451,2,0,5,2,0,1,2,1,0,1
K01501,4,0,1,2,1,1,2,1,0,2
K01515,0,2,1,3,2,3,2,1,0,0
K01676,0,0,1,1,1,1,6,1,2,1
K01729,2,0,0,0,0,2,0,2,5,3
K01754,0,1,7,0,3,1,0,1,1,0
K01811,0,0,2,0,2,3,4,0,1,2
K01879,2,0,3,1,2,3,2,1,0,0
K01968,0,0,1,1,8,2,0,1,0,1
K02066,0,0,5,2,0,1,2,4,0,0
K02280,2,0,0,4,3,1,0,1,2,1
K02400,2,0,3,1,0,1,0,6,1,0
K02474,2,0,0,3,0,2,0,2,1,4
K02597,2,0,0,1,9,1,0,0,0,1
K02670,2,1,6,1,0,0,0,2,1,1
K02691,2,0,0,3,3,2,2,0,1,1
K02719,4,0,1,5,0,0,0,2,2,0
K03284,0,0,6,1,1,0,2,2,1,1
K03294,4,0,2,1,2,2,2,0,0,1
K03563,4,0,0,1,4,1,0,2,0,2
K03565,0,0,4,0,0,4,2,3,0,1
K03604,0,0,0,1,1,2,4,6,0,0
K03625,0,0,0,2,1,1,4,0,1,5
K03743,6,0,2,1,1,2,0,2,0,0
K03932,0,0,0,2,3,1,2,4,1,1
K04084,4,1,0,2,1,1,2,1,1,1
K04774,2,0,1,0,2,0,4,3,1,1
K05581,4,1,0,0,3,0,4,2,0,0
K05989,2,0,2,1,1,0,0,7,0,1
K06188,0,0,0,2,2,2,2,0,4,2
K06223,4,1,0,0,0,2,2,4,0,1
K06867,0,0,0,1,1,1,2,9,0,0
K06910,2,1,1,0,0,1,6,0,1,2
K07003,0,0,2,3,1,2,4,2,0,0
K07027,2,0,1,2,2,1,4,0,1,1
K07028,2,0,0,1,0,3,2,3,1,2
K07041,0,0,0,0,0,3,2,9,0,0
K07053,8,1,0,1,0,2,0,0,1,1
K07071,4,0,3,1,1,1,2,0,1,1
K07100,6,1,0,0,3,2,0,2,0,0
K07152,0,0,0,2,5,2,0,1,2,2
K07183,0,0,1,0,0,1,6,2,0,4
K07246,2,0,5,0,1,1,2,2,0,1
K07257,0,0,2,1,2,1,0,4,2,2
K07259,2,0,4,1,1,0,2,3,0,1
K07452,2,0,1,0,1,3,2,4,0,1
K07644,2,0,1,2,2,3,2,2,0,0
K07684,2,0,1,1,1,4,4,0,1,0
K07694,2,0,0,1,1,1,8,1,0,0
K07777,0,0,0,1,0,0,4,3,3,3
K09153,2,0,0,2,0,1,4,1,2,2
K09565,6,0,2,1,0,0,2,1,0,2
K09819,0,0,2,2,1,4,2,1,1,1
K10120,0,2,0,0,0,2,2,3,2,3
K10359,2,0,3,0,0,5,0,2,0,2
K10713,8,0,0,2,2,0,2,0,0,0
K11383,2,0,3,3,1,4,0,1,0,0
K11707,4,1,0,1,0,4,2,1,0,1
K11708,2,0,2,2,1,2,2,2,1,0
K11991,0,0,7,1,1,2,0,2,0,1
K12324,0,0,0,1,3,0,0,0,8,2
K13605,0,0,0,0,0,0,2,2,7,3
K13734,0,0,0,0,0,8,0,3,2,1
